"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"TGFB1_TGFBR1_TGFBR2","TGFB1_TGFBR1_TGFBR2","TGFb","TGFB1","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: hsa04350","Secreted Signaling","TGFB1 - (TGFBR1+TGFBR2)"
"TGFB2_TGFBR1_TGFBR2","TGFB2_TGFBR1_TGFBR2","TGFb","TGFB2","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: hsa04350","Secreted Signaling","TGFB2 - (TGFBR1+TGFBR2)"
"TGFB3_TGFBR1_TGFBR2","TGFB3_TGFBR1_TGFBR2","TGFb","TGFB3","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: hsa04350","Secreted Signaling","TGFB3 - (TGFBR1+TGFBR2)"
"TGFB1_ACVR1B_TGFBR2","TGFB1_ACVR1B_TGFBR2","TGFb","TGFB1","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB1 - (ACVR1B+TGFBR2)"
"TGFB1_ACVR1C_TGFBR2","TGFB1_ACVR1C_TGFBR2","TGFb","TGFB1","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB1 - (ACVR1C+TGFBR2)"
"TGFB2_ACVR1B_TGFBR2","TGFB2_ACVR1B_TGFBR2","TGFb","TGFB2","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB2 - (ACVR1B+TGFBR2)"
"TGFB2_ACVR1C_TGFBR2","TGFB2_ACVR1C_TGFBR2","TGFb","TGFB2","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB2 - (ACVR1C+TGFBR2)"
"TGFB3_ACVR1B_TGFBR2","TGFB3_ACVR1B_TGFBR2","TGFb","TGFB3","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB3 - (ACVR1B+TGFBR2)"
"TGFB3_ACVR1C_TGFBR2","TGFB3_ACVR1C_TGFBR2","TGFb","TGFB3","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB3 - (ACVR1C+TGFBR2)"
"TGFB1_ACVR1_TGFBR1","TGFB1_ACVR1_TGFBR1","TGFb","TGFB1","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","TGFB1 - (ACVR1+TGFBR1)"
"TGFB2_ACVR1_TGFBR1","TGFB2_ACVR1_TGFBR1","TGFb","TGFB2","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","TGFB2 - (ACVR1+TGFBR1)"
"TGFB3_ACVR1_TGFBR1","TGFB3_ACVR1_TGFBR1","TGFb","TGFB3","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","TGFB3 - (ACVR1+TGFBR1)"
"BMP2_BMPR1A_ACVR2A","BMP2_BMPR1A_ACVR2A","BMP","BMP2","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP2 - (BMPR1A+ACVR2A)"
"BMP2_BMPR1A_ACVR2B","BMP2_BMPR1A_ACVR2B","BMP","BMP2","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP2 - (BMPR1A+ACVR2B)"
"BMP2_BMPR1A_BMPR2","BMP2_BMPR1A_BMPR2","BMP","BMP2","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP2 - (BMPR1A+BMPR2)"
"BMP2_BMPR1B_ACVR2A","BMP2_BMPR1B_ACVR2A","BMP","BMP2","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP2 - (BMPR1B+ACVR2A)"
"BMP2_BMPR1B_ACVR2B","BMP2_BMPR1B_ACVR2B","BMP","BMP2","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: hsa04350; PMID:26893264","Secreted Signaling","BMP2 - (BMPR1B+ACVR2B)"
