interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
A4_FPR2	A4_FPR2	Plp2	Plp2	Fpr2					cellphonedb_reactome		A4_Fpr2
Plp2_Cd74	Plp2_Cd74	Plp2	Plp2	Cd74					cellphonedb_PMID:19849849		A4_Hg2a
Plp2_Plxna4	Plp2_Plxna4	Plp2	Plp2	Plxna4					cellphonedb_Shilts screen - VALIDATED		A4_Plxa4
Plp2_Sorl1	Plp2_Sorl1	Plp2	Plp2	Sorl1					cellphonedb_uniprot		A4_Sorl
Plp2_Tnfrsf21	Plp2_Tnfrsf21	Plp2	Plp2	Tnfrsf21					cellphonedb_uniprot		A4_Tnr21
Adora1_Entpd1	Adora1_Entpd1	Adora1	Adora1	Entpd1					cellphonedb_uniprot		Aa1r_Entp1
Adora2a_Entpd1	Adora2a_Entpd1	Adora2a	Adora2a	Entpd1					cellphonedb_uniprot		Aa2ar_Entp1
Adora2b_Entpd1	Adora2b_Entpd1	Adora2b	Adora2b	Entpd1					cellphonedb_uniprot		Aa2br_Entp1
Adora3_Entpd1	Adora3_Entpd1	Adora3	Adora3	Entpd1					cellphonedb_uniprot		Aa3r_Entp1
ADAM10_AXL	ADAM10_AXL	ADAM10	Adam10	Axl					celltalkdb_16227584		Adam10_Axl
ADAM10_CADM1	ADAM10_CADM1	ADAM10	Adam10	Cadm1					celltalkdb_22172944		Adam10_Cadm1
ADAM10_EPHA3	ADAM10_EPHA3	ADAM10	Adam10	Epha3					celltalkdb_23108669		Adam10_Epha3
ADAM10_ERBB2	ADAM10_ERBB2	ADAM10	Adam10	Erbb2					celltalkdb_16627989		Adam10_Erbb2
ADAM10_FCER2A	ADAM10_FCER2A	ADAM10	Adam10	Fcer2a					celltalkdb_17072319		Adam10_Fcer2a
ADAM10_GPNMB	ADAM10_GPNMB	ADAM10	Adam10	Gpnmb					celltalkdb_29519253		Adam10_Gpnmb
ADAM10_IL6RA	ADAM10_IL6RA	ADAM10	Adam10	Il6ra					celltalkdb_21454673		Adam10_Il6ra
ADAM10_ITGAV	ADAM10_ITGAV	ADAM10	Adam10	Itgav					celltalkdb_11462216		Adam10_Itgav
ADAM10_LRP1	ADAM10_LRP1	ADAM10	Adam10	Lrp1					celltalkdb_27503326		Adam10_Lrp1
ADAM10_NOTCH1	ADAM10_NOTCH1	ADAM10	Adam10	Notch1					celltalkdb_19726682,24842903,19704010		Adam10_Notch1
ADAM10_NOTCH3	ADAM10_NOTCH3	ADAM10	Adam10	Notch3					celltalkdb_24842903		Adam10_Notch3
ADAM10_TSPAN10	ADAM10_TSPAN10	ADAM10	Adam10	Tspan10					celltalkdb_30013551		Adam10_Tspan10
ADAM10_TSPAN14	ADAM10_TSPAN14	ADAM10	Adam10	Tspan14					celltalkdb_30013551		Adam10_Tspan14
ADAM10_TSPAN15	ADAM10_TSPAN15	ADAM10	Adam10	Tspan15					celltalkdb_30013551		Adam10_Tspan15
ADAM10_TSPAN17	ADAM10_TSPAN17	ADAM10	Adam10	Tspan17					celltalkdb_30013551		Adam10_Tspan17
ADAM10_TSPAN5	ADAM10_TSPAN5	ADAM10	Adam10	Tspan5					celltalkdb_30013551		Adam10_Tspan5
ADAM12_EPHA1	ADAM12_EPHA1	ADAM12	Adam12	Epha1					celltalkdb_23686306		Adam12_Epha1
ADAM12_ITGA9	ADAM12_ITGA9	ADAM12	Adam12	Itga9					celltalkdb_10944520		Adam12_Itga9
ADAM12_ITGB1	ADAM12_ITGB1	ADAM12	Adam12	Itgb1					celltalkdb_10944520		Adam12_Itgb1
ADAM12_SDC4	ADAM12_SDC4	ADAM12	Adam12	Sdc4					celltalkdb_12509413		Adam12_Sdc4
ADAM12_TGFBR2	ADAM12_TGFBR2	ADAM12	Adam12	Tgfbr2					celltalkdb_17620406		Adam12_Tgfbr2
ADAM15_ITGA9	ADAM15_ITGA9	ADAM15	Adam15	Itga9					celltalkdb_10944520		Adam15_Itga9
ADAM15_ITGAV	ADAM15_ITGAV	ADAM15	Adam15	Itgav					celltalkdb_18390692,11882657		Adam15_Itgav
ADAM15_ITGB1	ADAM15_ITGB1	ADAM15	Adam15	Itgb1					celltalkdb_10944520		Adam15_Itgb1
ADAM17_APLP2	ADAM17_APLP2	ADAM17	Adam17	Aplp2					celltalkdb_20139073		Adam17_Aplp2
ADAM17_CD40	ADAM17_CD40	ADAM17	Adam17	Cd40					celltalkdb_24189063,24189063		Adam17_Cd40
ADAM17_CD9	ADAM17_CD9	ADAM17	Adam17	Cd9					celltalkdb_23052204,21365281		Adam17_Cd9
ADAM17_ERBB4	ADAM17_ERBB4	ADAM17	Adam17	Erbb4					celltalkdb_10744726		Adam17_Erbb4
ADAM17_GHR	ADAM17_GHR	ADAM17	Adam17	Ghr					celltalkdb_14519102		Adam17_Ghr
ADAM17_ITGA5	ADAM17_ITGA5	ADAM17	Adam17	Itga5					celltalkdb_30455686		Adam17_Itga5
ADAM17_ITGA6	ADAM17_ITGA6	ADAM17	Adam17	Itga6					celltalkdb_23888051		Adam17_Itga6
ADAM17_ITGB1	ADAM17_ITGB1	ADAM17	Adam17	Itgb1					celltalkdb_30455686,27550917,23888051		Adam17_Itgb1
ADAM17_ITGB6	ADAM17_ITGB6	ADAM17	Adam17	Itgb6					celltalkdb_23888051		Adam17_Itgb6
ADAM17_NECTIN4	ADAM17_NECTIN4	ADAM17	Adam17	Nectin4					celltalkdb_28232483		Adam17_Nectin4
ADAM17_NOTCH1	ADAM17_NOTCH1	ADAM17	Adam17	Notch1					celltalkdb_19704010,19704010		Adam17_Notch1
ADAM17_NOTCH2	ADAM17_NOTCH2	ADAM17	Adam17	Notch2					celltalkdb_25918160		Adam17_Notch2
ADAM17_RHBDF2	ADAM17_RHBDF2	ADAM17	Adam17	Rhbdf2					celltalkdb_28104813		Adam17_Rhbdf2
ADAM17_TNFRSF1A	ADAM17_TNFRSF1A	ADAM17	Adam17	Tnfrsf1a					celltalkdb_28794434		Adam17_Tnfrsf1a
ADAM17_TNFRSF1B	ADAM17_TNFRSF1B	ADAM17	Adam17	Tnfrsf1b					celltalkdb_28122773		Adam17_Tnfrsf1b
ADAM2_CD9	ADAM2_CD9	ADAM2	Adam2	Cd9					celltalkdb_10518536		Adam2_Cd9
ADAM2_ITGA6	ADAM2_ITGA6	ADAM2	Adam2	Itga6					celltalkdb_9971748		Adam2_Itga6
ADAM2_ITGA9	ADAM2_ITGA9	ADAM2	Adam2	Itga9					celltalkdb_21060781		Adam2_Itga9
ADAM2_ITGB1	ADAM2_ITGB1	ADAM2	Adam2	Itgb1					celltalkdb_9971748		Adam2_Itgb1
ADAM2_ITGB7	ADAM2_ITGB7	ADAM2	Adam2	Itgb7					celltalkdb_21060781		Adam2_Itgb7
ADAM3_CD9	ADAM3_CD9	ADAM3	Adam3	Cd9					celltalkdb_11294888		Adam3_Cd9
ADAM9_ITGA6	ADAM9_ITGA6	ADAM9	Adam9	Itga6					celltalkdb_27699237		Adam9_Itga6
ADAM9_ITGAV	ADAM9_ITGAV	ADAM9	Adam9	Itgav					celltalkdb_11162558		Adam9_Itgav
ADAM9_ITGB1	ADAM9_ITGB1	ADAM9	Adam9	Itgb1					celltalkdb_15361064		Adam9_Itgb1
ADAM9_ITGB5	ADAM9_ITGB5	ADAM9	Adam9	Itgb5					celltalkdb_16373656,11162558		Adam9_Itgb5
ADAMTS3_CCBE1	ADAMTS3_CCBE1	ADAMTS3	Adamts3	Ccbe1					celltalkdb_27159393		Adamts3_Ccbe1
ADA_ADORA1	ADA_ADORA1	ADA	Ada	Adora1					celltalkdb_8601428,15983379		Ada_Adora1
ADA_ADORA2B	ADA_ADORA2B	ADA	Ada	Adora2b					celltalkdb_15983379		Ada_Adora2b
ADA_DPP4	ADA_DPP4	ADA	Ada	Dpp4					celltalkdb_15213224		Ada_Dpp4
ADCYAP1_ADCYAP1R1	ADCYAP1_ADCYAP1R1	ADCYAP1	Adcyap1	Adcyap1r1					celltalkdb_31284862		Adcyap1_Adcyap1r1
ADCYAP1_ADRB3	ADCYAP1_ADRB3	ADCYAP1	Adcyap1	Adrb3					celltalkdb_25056115		Adcyap1_Adrb3
ADCYAP1_DPP4	ADCYAP1_DPP4	ADCYAP1	Adcyap1	Dpp4					celltalkdb_29451201		Adcyap1_Dpp4
ADCYAP1_RAMP2	ADCYAP1_RAMP2	ADCYAP1	Adcyap1	Ramp2					celltalkdb_23745705		Adcyap1_Ramp2
ADCYAP1_RAMP3	ADCYAP1_RAMP3	ADCYAP1	Adcyap1	Ramp3					celltalkdb_23745705		Adcyap1_Ramp3
ADCYAP1_VIPR1	ADCYAP1_VIPR1	ADCYAP1	Adcyap1	Vipr1					celltalkdb_10835102		Adcyap1_Vipr1
ADCYAP1_VIPR2	ADCYAP1_VIPR2	ADCYAP1	Adcyap1	Vipr2					celltalkdb_11193817,27453364		Adcyap1_Vipr2
ADIPOQ_ADIPOR1	ADIPOQ_ADIPOR1	ADIPOQ	Adipoq	Adipor1					celltalkdb_12802337		Adipoq_Adipor1
