interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
A2M_LRP1	A2M_LRP1	A2M	A2M	LRP1					celltalkdb_10652313		A2M_LRP1
A4_FPR2	A4_FPR2	A4	A4	FPR2					cellphonedb_reactome		A4_FPR2
A4_HG2A	A4_HG2A	A4	A4	HG2A					cellphonedb_PMID:19849849		A4_HG2A
A4_PLXA4	A4_PLXA4	A4	A4	PLXA4					cellphonedb_Shilts screen - VALIDATED		A4_PLXA4
A4_SORL	A4_SORL	A4	A4	SORL					cellphonedb_uniprot		A4_SORL
A4_TNR21	A4_TNR21	A4	A4	TNR21					cellphonedb_uniprot		A4_TNR21
AA1R_ENTP1	AA1R_ENTP1	AA1R	AA1R	ENTP1					cellphonedb_uniprot		AA1R_ENTP1
AA2AR_ENTP1	AA2AR_ENTP1	AA2AR	AA2AR	ENTP1					cellphonedb_uniprot		AA2AR_ENTP1
AA2BR_ENTP1	AA2BR_ENTP1	AA2BR	AA2BR	ENTP1					cellphonedb_uniprot		AA2BR_ENTP1
AA3R_ENTP1	AA3R_ENTP1	AA3R	AA3R	ENTP1					cellphonedb_uniprot		AA3R_ENTP1
AANAT_MTNR1A	AANAT_MTNR1A	AANAT	AANAT	MTNR1A					celltalkdb_12943195		AANAT_MTNR1A
AANAT_MTNR1B	AANAT_MTNR1B	AANAT	AANAT	MTNR1B					celltalkdb_12943195		AANAT_MTNR1B
ACE2_SLC6A19	ACE2_SLC6A19	ACE2	ACE2	SLC6A19					celltalkdb_22677001,32500793		ACE2_SLC6A19
ACE_AGTR2	ACE_AGTR2	ACE	ACE	AGTR2					celltalkdb_26198319,32196115		ACE_AGTR2
ACE_BDKRB2	ACE_BDKRB2	ACE	ACE	BDKRB2					celltalkdb_10748135		ACE_BDKRB2
ACTR2_ADRB2	ACTR2_ADRB2	ACTR2	ACTR2	ADRB2					celltalkdb_32196115		ACTR2_ADRB2
ACTR2_LDLR	ACTR2_LDLR	ACTR2	ACTR2	LDLR					celltalkdb_32196115		ACTR2_LDLR
ACTR2_LRP2	ACTR2_LRP2	ACTR2	ACTR2	LRP2					celltalkdb_32196115		ACTR2_LRP2
ADAM10_AXL	ADAM10_AXL	ADAM10	ADAM10	AXL					celltalkdb_7822279		ADAM10_AXL
ADAM10_CADM1	ADAM10_CADM1	ADAM10	ADAM10	CADM1					celltalkdb_22172944		ADAM10_CADM1
