"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.4","seurat_clusters","celltype","age"
"X1772094_169_G10","X1772094",7874,3630,"13","13","mPeric","E12.5"
"X1772072_247_E09","X1772072",3701,1793,"13","13","mPeric","E18.5"
"X1772094_174_H05","X1772094",2878,1447,"13","13","mPeric","E14.5"
"X1772094_172_F07","X1772094",7346,2895,"13","13","mPeric","E14.5"
"X1771013_117_F06","X1771013",3003,1214,"13","13","mPeric","E14.5"
"X1771013_111_H03","X1771013",3364,1519,"13","13","mPeric","E11.5"
"X1772094_146_G12","X1772094",8376,2801,"0","0","mPeric","E11.5"
"X1772094_166_C10","X1772094",5953,2508,"13","13","mPeric","E12.5"
"X1772094_146_G09","X1772094",10940,3392,"0","0","mPeric","E11.5"
"X1772094_169_H05","X1772094",7380,3085,"13","13","mPeric","E12.5"
"X1772094_169_H08","X1772094",10376,4145,"13","13","mPeric","E12.5"
"X1772072_249_B06","X1772072",3545,1846,"13","13","mPeric","E18.5"
"X1772094_171_C08","X1772094",9141,3702,"6","6","mPeric","E12.5"
"X1772066_085_F11","X1772066",4037,1728,"13","13","mPeric","E15.5"
"X1772075_301_D01","X1772075",7400,3118,"13","13","mPeric","E15.5"
"X1771013_117_B10","X1771013",2822,1212,"13","13","mPeric","E14.5"
"X1772066_085_H04","X1772066",6230,2218,"13","13","mPeric","E15.5"
"X1772066_085_A01","X1772066",2909,1423,"13","13","mPeric","E15.5"
"X1772094_175_G04","X1772094",4761,2085,"13","13","mPeric","E14.5"
"X1772075_300_C04","X1772075",16889,4356,"13","13","mPeric","E15.5"
"X1772075_301_B03","X1772075",14242,4572,"13","13","mPeric","E15.5"
"X1772066_093_G05","X1772066",11225,3469,"13","13","mPeric","E14.5"
"X1772075_300_A11","X1772075",2930,1367,"13","13","mPeric","E15.5"
"X1772075_302_A12","X1772075",7727,2858,"6","6","mPeric","E13.5"
"X1772094_156_E02","X1772094",6402,2114,"13","13","mPeric","E11.5"
"X1772072_247_G12","X1772072",2958,1360,"13","13","mPeric","E18.5"
"X1772072_248_A06","X1772072",2713,1572,"13","13","mPeric","E18.5"
"X1772075_300_D09","X1772075",8024,2329,"6","6","mPeric","E15.5"
"X1772072_246_G11","X1772072",9059,3878,"13","13","mPeric","E18.5"
"X1772072_247_G08","X1772072",5005,2327,"13","13","mPeric","E18.5"
"X1771013_153_A09","X1771013",7444,2488,"13","13","mPeric","E12.5"
"X1772071_049_B04","X1772071",18228,3900,"13","13","mPeric","E12.5"
"X1772094_169_E01","X1772094",11051,4024,"13","13","mPeric","E12.5"
"X1772094_144_B07","X1772094",8974,2777,"13","13","mPeric","E11.5"
"X1772094_171_E09","X1772094",8963,3801,"13","13","mPeric","E12.5"
"X1772094_158_C11","X1772094",6346,2499,"13","13","mPeric","E11.5"
"X1772094_175_G11","X1772094",4757,2161,"13","13","mPeric","E14.5"
"X1772075_303_B10","X1772075",6329,2004,"13","13","mPeric","E13.5"
"X1772066_093_E07","X1772066",5933,2037,"13","13","mPeric","E14.5"
"X1772094_171_G11","X1772094",12043,4061,"13","13","mPeric","E12.5"
"X1771013_118_F09","X1771013",4886,1742,"13","13","mPeric","E11.5"
"X1772094_169_E07","X1772094",12036,4184,"13","13","mPeric","E12.5"
"X1772096_112_A01","X1772096",12891,3560,"13","13","mPeric","E13.5"
"X1772071_050_C03","X1772071",6903,2134,"13","13","mPeric","E12.5"
"X1772094_156_G06","X1772094",5278,1909,"13","13","mPeric","E11.5"
"X1772094_169_A01","X1772094",9482,3686,"13","13","mPeric","E12.5"
"X1771013_153_D02","X1771013",6022,2226,"13","13","mPeric","E12.5"
"X1772092_007_E08","X1772092",6701,2298,"13","13","mPeric","E11.5"
"X1772092_007_F03","X1772092",12141,3338,"13","13","mPeric","E11.5"
"X1771013_153_B03","X1771013",8453,2917,"13","13","mPeric","E12.5"
"X1772094_166_C08","X1772094",16198,4730,"13","13","mPeric","E12.5"
"X1772094_156_B01","X1772094",5824,2443,"13","13","mPeric","E11.5"
"X1772071_049_D05","X1772071",7777,2015,"13","13","mPeric","E12.5"
"X1772096_112_F05","X1772096",15789,3800,"13","13","mPeric","E13.5"
"X1772094_169_C07","X1772094",14172,4494,"0","0","mPeric","E12.5"
"X1772075_303_B01","X1772075",11106,2865,"13","13","mPeric","E13.5"
"X1771013_108_B05","X1771013",4712,2152,"13","13","mPeric","E12.5"
"X1772096_115_A02","X1772096",6868,2842,"13","13","mPeric","E13.5"
"X1772094_163_G12","X1772094",3186,1478,"13","13","mPeric","E12.5"
"X1772092_007_G10","X1772092",8823,2760,"13","13","mPeric","E11.5"
"X1772094_156_D04","X1772094",10882,3000,"13","13","mPeric","E11.5"
"X1772094_144_G03","X1772094",12778,3444,"13","13","mPeric","E11.5"
"X1772092_007_C11","X1772092",6045,2001,"13","13","mPeric","E11.5"
"X1772075_302_D11","X1772075",13660,3158,"13","13","mPeric","E13.5"
"X1772094_169_B12","X1772094",10874,4218,"13","13","mPeric","E12.5"
"X1772092_007_F04","X1772092",14401,3813,"13","13","mPeric","E11.5"
"X1772092_007_C03","X1772092",9198,2991,"13","13","mPeric","E11.5"
"X1772075_303_H02","X1772075",8374,2445,"13","13","mPeric","E13.5"
"X1772092_007_A08","X1772092",7248,2292,"13","13","mPeric","E11.5"
"X1772066_087_E02","X1772066",26008,5875,"6","6","mMgl","E14.5"
"X1772094_174_B10","X1772094",4591,1818,"6","6","mMgl","E14.5"
"X1772066_084_A07","X1772066",12729,3122,"6","6","mMgl","E15.5"
"X1772071_046_C12","X1772071",9270,3196,"6","6","mMgl","E15.5"
"X1772094_146_C08","X1772094",13320,3405,"0","0","mMgl","E11.5"
"X1772072_246_A01","X1772072",7783,3155,"1","1","mMgl","E18.5"
"X1772096_115_A12","X1772096",6481,2327,"6","6","mMgl","E13.5"
"X1772072_246_H07","X1772072",4154,1885,"6","6","mMgl","E18.5"
"X1771013_111_D04","X1771013",3125,1214,"6","6","mMgl","E11.5"
"X1772092_007_D06","X1772092",24279,4926,"0","0","mMgl","E11.5"
"X1772092_006_G06","X1772092",19778,4037,"6","6","mMgl","E11.5"
"X1772066_084_B04","X1772066",9464,2647,"6","6","mMgl","E15.5"
"X1772075_302_F08","X1772075",20910,3562,"6","6","mMgl","E13.5"
"X1772072_247_G07","X1772072",3758,1502,"6","6","mMgl","E18.5"
"X1772071_065_B01","X1772071",8768,2185,"0","0","mNProg","E13.5"
"X1771013_118_H03","X1771013",10337,2994,"0","0","mNProg","E11.5"
"X1772094_144_F02","X1772094",8077,2288,"6","6","mMgl","E11.5"
"X1772094_144_A01","X1772094",9403,2705,"0","0","mMgl","E11.5"
"X1772092_007_C09","X1772092",11266,2760,"6","6","mMgl","E11.5"
"X1772092_006_H03","X1772092",21559,4581,"13","13","mMgl","E11.5"
"X1772094_175_D05","X1772094",9393,3002,"6","6","mMgl","E14.5"
"X1772072_246_G09","X1772072",10030,3828,"13","13","mMgl","E18.5"
"X1772094_158_F03","X1772094",10430,3165,"6","6","mMgl","E11.5"
"X1772071_046_D06","X1772071",6854,2822,"6","6","mMgl","E15.5"
"X1772094_173_B03","X1772094",3913,1706,"6","6","mMgl","E14.5"
"X1772094_158_B01","X1772094",13004,3815,"0","0","mMgl","E11.5"
"X1772072_246_E05","X1772072",7823,3071,"6","6","mMgl","E18.5"
"X1772072_246_C05","X1772072",16048,4742,"6","6","mMgl","E18.5"
"X1772066_084_E02","X1772066",16875,4537,"6","6","mMgl","E15.5"
"X1772094_144_A06","X1772094",7818,2641,"0","0","mNProg","E11.5"
"X1771013_110_B02","X1771013",3964,1907,"0","0","mNProg","E11.5"
"X1772094_171_A01","X1772094",6584,3004,"0","0","mNProg","E12.5"
"X1772094_156_B08","X1772094",7665,2545,"0","0","mNProg","E11.5"
"X1772094_146_C04","X1772094",7037,2172,"0","0","mNProg","E11.5"
"X1771013_013_H11","X1771013",16380,2715,"0","0","mNProg","E11.5"
"X1772094_166_E07","X1772094",7642,2648,"0","0","mNProg","E12.5"
"X1772094_161_C05","X1772094",5730,2127,"0","0","mNProg","E11.5"
"X1772096_114_C09","X1772096",11642,3584,"0","0","mNProg","E13.5"
"X1772094_171_D04","X1772094",9653,3800,"0","0","mNProg","E12.5"
"X1772094_158_B11","X1772094",5285,2427,"0","0","mNProg","E11.5"
"X1772094_144_H07","X1772094",9214,2985,"0","0","mNProg","E11.5"
"X1772094_144_H05","X1772094",11408,3273,"0","0","mNProg","E11.5"
"X1772094_144_F05","X1772094",8318,2505,"0","0","mNProg","E11.5"
"X1772094_161_E03","X1772094",5937,2088,"0","0","mNProg","E11.5"
"X1771013_153_A08","X1771013",3803,1649,"4","4","mNProg","E12.5"
"X1772094_171_H10","X1772094",6727,2844,"4","4","mNProg","E12.5"
"X1772094_146_D07","X1772094",12118,3335,"0","0","mNProg","E11.5"
"X1772094_144_E03","X1772094",9301,2914,"0","0","mNProg","E11.5"
"X1772096_111_H02","X1772096",8813,3025,"0","0","mNProg","E13.5"
"X1772092_006_D06","X1772092",10360,2864,"0","0","mNProg","E11.5"
"X1772094_144_B02","X1772094",7429,2474,"0","0","mNProg","E11.5"
"X1771013_113_B03","X1771013",5221,1991,"0","0","mNProg","E11.5"
"X1772094_169_G11","X1772094",7732,3339,"0","0","mNProg","E12.5"
"X1771013_013_C12","X1771013",6238,1492,"8","8","mNProg","E11.5"
"X1772072_247_B02","X1772072",3290,1584,"4","4","mNProg","E18.5"
"X1772094_146_F09","X1772094",7424,2308,"0","0","mNProg","E11.5"
"X1772094_146_A04","X1772094",12715,3417,"0","0","mNProg","E11.5"
"X1772094_146_A06","X1772094",8844,2751,"0","0","mNProg","E11.5"
"X1772092_007_B02","X1772092",23574,5635,"0","0","mNProg","E11.5"
"X1772094_163_C10","X1772094",7805,2467,"0","0","mNProg","E12.5"
"X1771013_153_F09","X1771013",6108,2511,"4","4","mNProg","E12.5"
"X1772092_007_A02","X1772092",13647,3581,"0","0","mNProg","E11.5"
"X1772092_006_H04","X1772092",15177,3722,"4","4","mNProg","E11.5"
"X1772092_007_D07","X1772092",11866,3453,"0","0","mNProg","E11.5"
"X1772094_169_C12","X1772094",13659,4325,"0","0","mNProg","E12.5"
"X1772096_114_E03","X1772096",5946,2335,"0","0","mNProg","E13.5"
"X1772094_173_B02","X1772094",6017,2831,"4","4","mNProg","E14.5"
"X1772094_169_B04","X1772094",10305,3939,"0","0","mNProg","E12.5"
"X1772094_166_F07","X1772094",20171,4558,"0","0","mNProg","E12.5"
"X1771013_108_E01","X1771013",3050,1586,"4","4","mNProg","E12.5"
"X1771013_108_E10","X1771013",3193,1638,"0","0","mNProg","E12.5"
"X1772094_144_B04","X1772094",14958,3975,"0","0","mNProg","E11.5"
"X1772094_171_C03","X1772094",11219,3852,"0","0","mNProg","E12.5"
"X1772094_146_E05","X1772094",6818,2240,"0","0","mNProg","E11.5"
"X1772094_172_H11","X1772094",4614,1880,"0","0","mNProg","E14.5"
"X1771013_013_G04","X1771013",5010,1455,"0","0","mNProg","E11.5"
"X1772094_172_C03","X1772094",5247,2182,"0","0","mNProg","E14.5"
"X1772094_166_A12","X1772094",6517,2661,"0","0","mNProg","E12.5"
"X1772096_115_E10","X1772096",7159,2561,"0","0","mNProg","E13.5"
"X1772094_166_B10","X1772094",6856,2184,"4","4","mNProg","E12.5"
"X1772094_146_E02","X1772094",10610,3581,"0","0","mNProg","E11.5"
